ano,textil,biologica,mecanica,militar,oceanica,religiosa,antropomorfica,extrativa,caixa
2015,73,177,238,79,94,1,206,22,2
2016,63,177,206,80,100,6,198,19,1
2017,48,320,270,89,105,3,274,44,2
2018,78,321,343,102,169,4,260,54,3
2019,95,384,398,109,170,7,363,44,20
2020,146,480,394,162,193,11,346,57,1
2021,155,673,521,167,207,12,503,77,10
2022,144,664,521,218,220,3,481,100,7
2023,120,732,498,178,201,15,584,123,22
2024,160,595,469,205,248,22,550,108,29
2025,120,582,513,185,224,2,444,73,29
2026,32,110,212,64,68,12,263,31,24
