termo,comunidade,frequencia
how,0,3068
technology,0,1151
what,0,1036
public,0,994
technologies,0,926
political,0,891
understanding,0,884
role,0,881
case,0,875
critical,0,842
knowledge,0,829
science,0,817
making,0,770
people,0,760
examines,0,688
ways,0,676
interviews,0,636
concept,0,628
increasingly,0,600
practice,0,582
examine,0,571
explore,0,570
explores,0,524
systems,1,1268
system,1,1185
human,1,1087
ai,1,937
control,1,925
artificial,1,839
intelligence,1,799
learning,2,1000
performance,2,972
high,2,911
network,2,863
algorithm,2,713
machine,2,664
algorithms,2,657
accuracy,2,656
compared,2,567
networks,2,542
social,3,2161
analysis,3,1967
media,3,1472
digital,3,1427
online,3,1008
users,3,876
content,3,750
platforms,3,639
platform,3,602
user,3,557
time,4,1261
real,4,614
world,4,600
data,5,2543
research,5,2003
different,5,1416
information,5,1217
practices,5,1067
development,5,917
future,5,701
